Fecha,Hora,ZP,imecas,zona,contaminante,color
2019-05-07,13,NOO3,73.0,NO,O3,gray
2019-05-07,14,NOO3,90.0,NO,O3,gray
2019-05-07,15,NOO3,102.0,NO,O3,gray
2019-05-07,16,NOO3,49.0,NO,O3,gray
2019-05-07,17,NOO3,46.0,NO,O3,gray
2019-05-07,18,NOO3,40.0,NO,O3,gray
2019-05-07,19,NOO3,36.0,NO,O3,gray
2019-05-07,20,NOO3,35.0,NO,O3,gray
2019-05-07,21,NOO3,32.0,NO,O3,gray
2019-05-07,22,NOO3,34.0,NO,O3,gray
2019-05-07,23,NOO3,30.0,NO,O3,gray
2019-05-07,24,NOO3,30.0,NO,O3,gray
2019-05-08,1,NOO3,25.0,NO,O3,gray
2019-05-08,2,NOO3,18.0,NO,O3,gray
2019-05-08,3,NOO3,19.0,NO,O3,gray
2019-05-08,4,NOO3,17.0,NO,O3,gray
2019-05-08,5,NOO3,14.0,NO,O3,gray
2019-05-08,6,NOO3,8.0,NO,O3,gray
2019-05-08,7,NOO3,3.0,NO,O3,gray
2019-05-08,8,NOO3,4.0,NO,O3,gray
2019-05-08,9,NOO3,11.0,NO,O3,gray
2019-05-08,10,NOO3,29.0,NO,O3,gray
2019-05-08,11,NOO3,32.0,NO,O3,gray
2019-05-08,12,NOO3,36.0,NO,O3,gray
2019-05-08,13,NOO3,49.0,NO,O3,gray
2019-05-08,14,NOO3,73.0,NO,O3,gray
2019-05-08,15,NOO3,63.0,NO,O3,gray
2019-05-08,16,NOO3,55.0,NO,O3,gray
2019-05-08,17,NOO3,45.0,NO,O3,gray
2019-05-08,18,NOO3,45.0,NO,O3,gray
2019-05-08,19,NOO3,38.0,NO,O3,gray
2019-05-08,20,NOO3,37.0,NO,O3,gray
2019-05-08,21,NOO3,33.0,NO,O3,gray
2019-05-08,22,NOO3,33.0,NO,O3,gray
2019-05-08,23,NOO3,31.0,NO,O3,gray
2019-05-08,24,NOO3,35.0,NO,O3,gray
2019-05-09,1,NOO3,31.0,NO,O3,gray
2019-05-09,2,NOO3,32.0,NO,O3,gray
2019-05-09,3,NOO3,25.0,NO,O3,gray
2019-05-09,4,NOO3,33.0,NO,O3,gray
2019-05-09,5,NOO3,25.0,NO,O3,gray
2019-05-09,6,NOO3,12.0,NO,O3,gray
2019-05-09,7,NOO3,5.0,NO,O3,gray
2019-05-09,8,NOO3,6.0,NO,O3,gray
2019-05-09,9,NOO3,5.0,NO,O3,gray
2019-05-09,10,NOO3,29.0,NO,O3,gray
2019-05-09,11,NOO3,41.0,NO,O3,gray
2019-05-09,12,NOO3,49.0,NO,O3,gray
2019-05-09,13,NOO3,55.0,NO,O3,gray
2019-05-09,14,NOO3,53.0,NO,O3,gray
2019-05-09,15,NOO3,45.0,NO,O3,gray
2019-05-09,16,NOO3,45.0,NO,O3,gray
2019-05-09,17,NOO3,41.0,NO,O3,gray
2019-05-09,18,NOO3,34.0,NO,O3,gray
2019-05-09,19,NOO3,34.0,NO,O3,gray
2019-05-09,20,NOO3,31.0,NO,O3,gray
2019-05-09,21,NOO3,32.0,NO,O3,gray
2019-05-09,22,NOO3,34.0,NO,O3,gray
2019-05-09,23,NOO3,37.0,NO,O3,gray
2019-05-09,24,NOO3,34.0,NO,O3,gray
2019-05-10,1,NOO3,30.0,NO,O3,gray
2019-05-10,2,NOO3,34.0,NO,O3,gray
2019-05-10,3,NOO3,34.0,NO,O3,gray
2019-05-10,4,NOO3,27.0,NO,O3,gray
2019-05-10,5,NOO3,19.0,NO,O3,gray
2019-05-10,6,NOO3,6.0,NO,O3,gray
2019-05-10,7,NOO3,4.0,NO,O3,gray
2019-05-10,8,NOO3,4.0,NO,O3,gray
2019-05-10,9,NOO3,5.0,NO,O3,gray
2019-05-10,10,NOO3,16.0,NO,O3,gray
2019-05-10,11,NOO3,27.0,NO,O3,gray
2019-05-10,12,NOO3,39.0,NO,O3,gray
2019-05-10,13,NOO3,49.0,NO,O3,gray
2019-05-10,14,NOO3,80.0,NO,O3,gray
2019-05-10,15,NOO3,104.0,NO,O3,gray
2019-05-10,16,NOO3,106.0,NO,O3,gray
2019-05-10,17,NOO3,112.0,NO,O3,gray
2019-05-10,18,NOO3,109.0,NO,O3,gray
2019-05-10,19,NOO3,100.0,NO,O3,gray
2019-05-10,20,NOO3,49.0,NO,O3,gray
2019-05-10,21,NOO3,38.0,NO,O3,gray
2019-05-10,22,NOO3,36.0,NO,O3,gray
2019-05-10,23,NOO3,32.0,NO,O3,gray
2019-05-10,24,NOO3,31.0,NO,O3,gray
2019-05-11,1,NOO3,26.0,NO,O3,gray
2019-05-11,2,NOO3,26.0,NO,O3,gray
2019-05-11,3,NOO3,25.0,NO,O3,gray
2019-05-11,4,NOO3,21.0,NO,O3,gray
2019-05-11,5,NOO3,23.0,NO,O3,gray
2019-05-11,6,NOO3,21.0,NO,O3,gray
2019-05-11,7,NOO3,14.0,NO,O3,gray
2019-05-11,8,NOO3,6.0,NO,O3,gray
2019-05-11,9,NOO3,7.0,NO,O3,gray
2019-05-11,10,NOO3,20.0,NO,O3,gray
2019-05-11,11,NOO3,34.0,NO,O3,gray
2019-05-11,12,NOO3,45.0,NO,O3,gray
2019-05-11,13,NOO3,65.0,NO,O3,gray
2019-05-11,14,NOO3,103.0,NO,O3,gray
2019-05-11,15,NOO3,100.0,NO,O3,gray
2019-05-11,16,NOO3,103.0,NO,O3,gray
2019-05-11,17,NOO3,103.0,NO,O3,gray
2019-05-11,18,NOO3,100.0,NO,O3,gray
2019-05-11,19,NOO3,102.0,NO,O3,gray
2019-05-11,20,NOO3,102.0,NO,O3,gray
2019-05-11,21,NOO3,76.0,NO,O3,gray
2019-05-11,22,NOO3,67.0,NO,O3,gray
2019-05-11,23,NOO3,48.0,NO,O3,gray
2019-05-11,24,NOO3,27.0,NO,O3,gray
2019-05-12,1,NOO3,26.0,NO,O3,gray
2019-05-12,2,NOO3,26.0,NO,O3,gray
2019-05-12,3,NOO3,19.0,NO,O3,gray
2019-05-12,4,NOO3,23.0,NO,O3,gray
2019-05-12,5,NOO3,20.0,NO,O3,gray
2019-05-12,6,NOO3,14.0,NO,O3,gray
2019-05-12,7,NOO3,8.0,NO,O3,gray
2019-05-12,8,NOO3,12.0,NO,O3,gray
2019-05-12,9,NOO3,11.0,NO,O3,gray
2019-05-12,10,NOO3,27.0,NO,O3,gray
2019-05-12,11,NOO3,41.0,NO,O3,gray
2019-05-12,12,NOO3,94.0,NO,O3,gray
2019-05-12,13,NOO3,104.0,NO,O3,gray
2019-05-12,14,NOO3,113.0,NO,O3,gray
2019-05-12,15,NOO3,118.0,NO,O3,gray
2019-05-12,16,NOO3,126.0,NO,O3,gray
2019-05-12,17,NOO3,115.0,NO,O3,gray
2019-05-12,18,NOO3,104.0,NO,O3,gray
2019-05-12,19,NOO3,76.0,NO,O3,gray
2019-05-12,20,NOO3,61.0,NO,O3,gray
2019-05-12,21,NOO3,55.0,NO,O3,gray
2019-05-12,22,NOO3,53.0,NO,O3,gray
2019-05-12,23,NOO3,46.0,NO,O3,gray
2019-05-12,24,NOO3,44.0,NO,O3,gray
2019-05-13,1,NOO3,,NO,O3,gray
2019-05-13,2,NOO3,,NO,O3,gray
2019-05-13,3,NOO3,0.0,NO,O3,gray
2019-05-13,4,NOO3,0.0,NO,O3,gray
2019-05-13,5,NOO3,24.0,NO,O3,gray
2019-05-13,6,NOO3,13.0,NO,O3,gray
2019-05-13,7,NOO3,4.0,NO,O3,gray
2019-05-13,8,NOO3,4.0,NO,O3,gray
2019-05-13,9,NOO3,4.0,NO,O3,gray
2019-05-13,10,NOO3,17.0,NO,O3,gray
2019-05-13,11,NOO3,30.0,NO,O3,gray
2019-05-13,12,NOO3,59.0,NO,O3,gray
2019-05-13,13,NOO3,105.0,NO,O3,gray
2019-05-13,14,NOO3,130.0,NO,O3,gray
2019-05-13,15,NOO3,133.0,NO,O3,gray
2019-05-13,16,NOO3,122.0,NO,O3,gray
2019-05-13,17,NOO3,96.0,NO,O3,gray
2019-05-13,18,NOO3,88.0,NO,O3,gray
2019-05-13,19,NOO3,82.0,NO,O3,gray
2019-05-13,20,NOO3,48.0,NO,O3,gray
2019-05-13,21,NOO3,38.0,NO,O3,gray
2019-05-13,22,NOO3,46.0,NO,O3,gray
2019-05-13,23,NOO3,42.0,NO,O3,gray
2019-05-13,24,NOO3,35.0,NO,O3,gray
2019-05-14,1,NOO3,28.0,NO,O3,gray
2019-05-14,2,NOO3,24.0,NO,O3,gray
2019-05-14,3,NOO3,19.0,NO,O3,gray
2019-05-14,4,NOO3,19.0,NO,O3,gray
2019-05-14,5,NOO3,16.0,NO,O3,gray
2019-05-14,6,NOO3,9.0,NO,O3,gray
2019-05-14,7,NOO3,3.0,NO,O3,gray
2019-05-14,8,NOO3,3.0,NO,O3,gray
2019-05-14,9,NOO3,4.0,NO,O3,gray
2019-05-14,10,NOO3,7.0,NO,O3,gray
2019-05-14,11,NOO3,32.0,NO,O3,gray
2019-05-14,12,NOO3,49.0,NO,O3,gray
2019-05-14,13,NOO3,110.0,NO,O3,gray
2019-05-14,14,NOO3,123.0,NO,O3,gray
2019-05-14,15,NOO3,132.0,NO,O3,gray
2019-05-14,16,NOO3,149.0,NO,O3,gray
2019-05-14,17,NOO3,138.0,NO,O3,gray
2019-05-14,18,NOO3,117.0,NO,O3,gray
2019-05-14,19,NOO3,78.0,NO,O3,gray
2019-05-14,20,NOO3,55.0,NO,O3,gray
2019-05-14,21,NOO3,44.0,NO,O3,gray
2019-05-14,22,NOO3,34.0,NO,O3,gray
2019-05-14,23,NOO3,31.0,NO,O3,gray
2019-05-14,24,NOO3,25.0,NO,O3,gray
2019-05-15,1,NOO3,24.0,NO,O3,gray
2019-05-15,2,NOO3,18.0,NO,O3,gray
2019-05-15,3,NOO3,19.0,NO,O3,gray
2019-05-15,4,NOO3,21.0,NO,O3,gray
2019-05-15,5,NOO3,19.0,NO,O3,gray
2019-05-15,6,NOO3,19.0,NO,O3,gray
2019-05-15,7,NOO3,16.0,NO,O3,gray
2019-05-15,8,NOO3,16.0,NO,O3,gray
2019-05-15,9,NOO3,16.0,NO,O3,gray
2019-05-15,10,NOO3,29.0,NO,O3,gray
2019-05-15,11,NOO3,42.0,NO,O3,gray
2019-05-15,12,NOO3,53.0,NO,O3,gray
2019-05-15,13,NOO3,106.0,NO,O3,gray
2019-05-15,14,NOO3,133.0,NO,O3,gray
2019-05-15,15,NOO3,140.0,NO,O3,gray
2019-05-15,16,NOO3,140.0,NO,O3,gray
2019-05-15,17,NOO3,140.0,NO,O3,gray
2019-05-15,18,NOO3,134.0,NO,O3,gray
2019-05-15,19,NOO3,76.0,NO,O3,gray
2019-05-15,20,NOO3,38.0,NO,O3,gray
2019-05-15,21,NOO3,42.0,NO,O3,gray
2019-05-15,22,NOO3,41.0,NO,O3,gray
2019-05-15,23,NOO3,38.0,NO,O3,gray
2019-05-15,24,NOO3,27.0,NO,O3,gray
2019-05-16,1,NOO3,22.0,NO,O3,red
2019-05-16,2,NOO3,21.0,NO,O3,red
2019-05-16,3,NOO3,18.0,NO,O3,red
2019-05-16,4,NOO3,17.0,NO,O3,red
2019-05-16,5,NOO3,13.0,NO,O3,red
2019-05-16,6,NOO3,8.0,NO,O3,red
2019-05-16,7,NOO3,6.0,NO,O3,red
2019-05-16,8,NOO3,3.0,NO,O3,red
2019-05-16,9,NOO3,10.0,NO,O3,red
2019-05-16,10,NOO3,18.0,NO,O3,red
2019-05-16,11,NOO3,29.0,NO,O3,red
2019-05-16,12,NOO3,50.0,NO,O3,red
2019-05-16,13,NOO3,96.0,NO,O3,red
2019-05-16,14,NOO3,90.0,NO,O3,red
